uid,physical_degree_centrality,physical_clustering_coef,physical_betweenness,behavioral_degree_centrality,behavioral_clustering_coef,behavioral_betweenness,educational_degree_centrality,educational_clustering_coef,educational_betweenness,physical_degree_centrality_z,behavioral_degree_centrality_z,educational_degree_centrality_z,has_physical_layer,has_behavioral_layer,has_educational_layer,layer_coverage,cross_layer_activity,degree_variance_z,avg_zscore,participation_coefficient,overlapping_degree,layer_entropy,ema_mood_mean,ema_response_count,peer_avg_mood,peer_avg_stress,total_neighbors
u24,0.9,0.9572649572649573,0.19673527262000895,0.4444444444444445,0.45263157894736844,0.0,0.9545454545454546,1.0,0.0026740764990125124,0.3278486169222919,0.8764068996780773,0.2128307004888261,1,1,1,3,3.0,0.08383096475679164,0.4723620723630651,0.6369802879284411,3.0,1.5145434805823492,,,,,47
u25,0.9666666666666667,0.8669950738916257,0.247018278110585,0.26666666666666666,0.8484848484848485,0.00101010101010101,0.9545454545454546,1.0,0.003191009604684908,0.6723675025016492,-0.29213563322602576,0.2128307004888261,1,1,1,3,2.0,0.1551590410464566,0.19768752325481653,0.5995848712026458,2.0,1.4128423786557744,,,,,46
u27,0.8666666666666667,0.9692307692307692,0.0,0.24444444444444446,0.8,0.0,0.9545454545454546,1.0,0.003191009604684908,0.15558917413261322,-0.4382034498390385,0.2128307004888261,1,1,1,3,2.0,0.08663463750176144,-0.023261191739199726,0.596426850628583,2.0,1.4047440635002442,,,,,44
u30,0.9333333333333333,0.9126984126984127,0.0,0.5555555555555556,0.4066666666666667,0.09267676767676768,0.9545454545454546,1.0,0.00183731814698767,0.5001080597119705,1.6067459827431416,0.2128307004888261,1,1,1,3,3.0,0.3611306208794551,0.7732282476479794,0.6497855871279475,3.0,1.5459554717341537,,,,,47
u31,,,,0.08888888888888889,1.0,0.0,0.9545454545454546,1.0,0.0026422542294931442,,-1.4606781661301285,0.2128307004888261,0,1,1,2,1.0,0.7001579816630645,-0.6239237328206512,0.15586328787945503,1.0,0.42020331621495954,,,,,42
u32,0.8333333333333334,0.9966666666666667,0.00617475908089377,0.5777777777777778,0.4707692307692308,0.09015151515151515,0.9545454545454546,1.0,0.00311550371522553,-0.016670268657065435,1.7528137993561546,0.2128307004888261,1,1,1,3,2.0,0.617254722954282,0.6496580770626385,0.6534464036591671,2.0,1.5552700017353818,,,,,45
u33,0.9,0.905982905982906,0.9633103096936969,,,,0.045454545454545456,0.0,0.04545454545454548,0.3278486169222919,,-4.575860060509744,1,0,1,2,1.0,6.011589698280563,-2.124005721793726,0.0915310650887573,1.0,0.2781710079264944,,,,,27
u34,,,,0.5777777777777778,0.5015384615384615,0.014141414141414142,0.9545454545454546,1.0,0.002103724796469868,,1.7528137993561546,0.2128307004888261,0,1,1,2,2.0,0.592886986199255,0.9828222499224903,0.4697715063166774,2.0,0.9559390912788661,,,,,44
u35,,,,0.37777777777777777,0.7205882352941176,0.0,0.9545454545454546,1.0,0.002103724796469868,,0.4382034498390385,0.2128307004888261,0,1,1,2,2.0,0.012698219037418412,0.3255170751639323,0.40629718679749693,2.0,0.860240472787976,,,,,43
u36,0.26666666666666666,1.0,2.1487095467414927,0.2,0.6666666666666666,0.30757575757575756,,,,-2.9450807960816032,-0.7303390830650642,,1,1,0,2,0.0,1.2262702138438584,-1.8377099395733336,0.4897959183673469,0.0,0.9852281360342515,,,,,15
u39,,,,0.22222222222222224,0.9333333333333333,0.04242424242424243,,,,,-0.5842712664520514,,0,1,0,1,,,,,,,,,,,10
u41,,,,0.8,0.3634920634920635,0.029292929292929294,0.9545454545454546,1.0,0.0018946251810388903,,3.2134919654862832,0.2128307004888261,0,1,1,2,2.0,2.2509920068140348,1.7131613329875546,0.49612070122687846,2.0,0.9943960953249456,,,,,45
u42,0.26666666666666666,1.0,8.614593111537895,0.4666666666666667,0.5952380952380952,0.023989898989898988,0.9545454545454546,1.0,0.002103724796469868,-2.9450807960816032,1.02247471629109,0.2128307004888261,1,1,1,3,2.0,2.9299361329172275,-0.5699251264338957,0.5787738236062002,2.0,1.398435428472725,,,,,45
u43,0.9,0.9116809116809117,0.14142555534652115,0.24444444444444446,0.43636363636363634,0.33484848484848484,0.9545454545454546,1.0,0.003191009604684908,0.3278486169222919,-0.4382034498390385,0.2128307004888261,1,1,1,3,2.0,0.11376781722034734,0.03415862252402651,0.5957767380162127,2.0,1.402083900042828,,,,,44
u44,,,,0.17777777777777778,0.5357142857142857,0.08409090909090909,0.9545454545454546,1.0,0.0026740764990125124,,-0.8764068996780772,0.2128307004888261,0,1,1,2,1.0,0.29660963740433866,-0.3317880995946255,0.26470567170735326,1.0,0.627090540113513,,,,,42
u45,,,,0.4444444444444445,0.6421052631578947,0.012121212121212121,0.9545454545454546,1.0,0.002103724796469868,,0.8764068996780773,0.2128307004888261,0,1,1,2,2.0,0.11008334303261319,0.5446188000834516,0.4335257855569602,2.0,0.9018511890893872,,,,,43
u46,0.9333333333333333,0.9074074074074074,0.007537875272716128,0.13333333333333333,0.8,0.0030303030303030303,0.9545454545454546,1.0,0.0018946251810388903,0.5001080597119705,-1.1685425329041028,0.2128307004888261,1,1,1,3,2.0,0.5305683434771813,-0.1518679242344354,0.5593844756782029,2.0,1.284637746467848,,,,,45
u47,0.6,0.9215686274509803,7.437530990632424,0.33333333333333337,0.6666666666666666,0.06111111111111111,0.9545454545454546,1.0,0.0026740764990125124,-1.2224863681848166,0.14606781661301307,0.2128307004888261,1,1,1,3,2.0,0.4375036585574407,-0.2878626170276591,0.6121676040697809,2.0,1.464769404299334,,,,,45
u49,0.8666666666666667,0.9846153846153847,0.0,0.11111111111111112,0.9,0.0030303030303030303,0.9545454545454546,1.0,0.003191009604684908,0.15558917413261322,-1.3146103495171158,0.2128307004888261,1,1,1,3,2.0,0.4997599325469703,-0.3153968249652255,0.5515075682409596,2.0,1.258360237478473,,,,,45
u50,,,,0.4666666666666667,0.43333333333333335,0.0808080808080808,0.9545454545454546,1.0,0.0026740764990125124,,1.02247471629109,0.2128307004888261,0,1,1,2,2.0,0.16388085808110417,0.6176527083899581,0.441078191133883,2.0,0.9132401614300725,,,,,45
u51,,,,0.6222222222222222,0.4470899470899471,0.1159090909090909,0.9545454545454546,1.0,0.002103724796469868,,2.04494943258218,0.2128307004888261,0,1,1,2,2.0,0.8391647621218399,1.128890066535503,0.47778961973898537,2.0,0.9677156486111373,,,,,45
u52,,,,,,,0.9545454545454546,1.0,0.0018946251810388903,,,0.2128307004888261,0,0,1,1,,,,,,,,,,,42
u53,,,,0.2,0.6666666666666666,0.0,0.9545454545454546,1.0,0.0026169150320907108,,-0.7303390830650642,0.2128307004888261,0,1,1,2,1.0,0.2223923101522731,-0.25875419128811905,0.28644057288114566,1.0,0.6650368524023751,,,,,42
u54,0.9333333333333333,0.8862433862433863,0.08502946324820515,0.022222222222222223,0.0,0.0,0.9772727272727273,0.9534883720930233,0.09191042971945391,0.5001080597119705,-1.8988816159691673,0.33254796951379023,1,1,1,3,2.0,1.1958339825356175,-0.35540852891446884,0.5110405765315399,2.0,1.0786887366213582,,,,,44
u56,,,,0.15555555555555556,0.5714285714285714,0.25075757575757573,,,,,-1.02247471629109,,0,1,0,1,,,,,,,,,,,7
u57,0.9,0.9572649572649573,0.01974347144350757,,,,0.9545454545454546,1.0,0.0026469718207450437,0.3278486169222919,,0.2128307004888261,1,0,1,2,2.0,0.0033072802751739298,0.270339658705559,0.4995674740484428,2.0,0.9993759069576511,,,,,44
u58,,,,0.24444444444444446,0.9090909090909091,0.007070707070707071,0.9545454545454546,1.0,0.002103724796469868,,-0.4382034498390385,0.2128307004888261,0,1,1,2,1.0,0.10596136622328114,-0.11268637467510619,0.3246203429599941,1.0,0.7296113435021232,,,,,42
u59,0.9666666666666667,0.8669950738916257,0.0,0.4,0.43137254901960786,0.30757575757575756,0.9545454545454546,1.0,0.003191009604684908,0.6723675025016492,0.5842712664520515,0.2128307004888261,1,1,1,3,3.0,0.03965590147259559,0.48982315648084235,0.6277669082207937,3.0,1.4906455253475392,,,,,47
