uid,physical_degree_centrality,physical_clustering_coef,physical_betweenness,behavioral_degree_centrality,behavioral_clustering_coef,behavioral_betweenness,educational_degree_centrality,educational_clustering_coef,educational_betweenness,physical_degree_zscore,behavioral_degree_zscore,educational_degree_zscore,cross_layer_activity_z,degree_variance_z,degree_std_z,degree_mean_z,degree_range_z,participation_coefficient,overlapping_degree,layer_entropy,phys_edu_neighbor_overlap,peer_avg_mood,peer_avg_stress,total_neighbors
u15,0.9666666666666667,0.8669950738916257,0.15930028677228744,0.4666666666666667,0.5285714285714286,0.014141414141414142,0.9545454545454546,1.0,0.003191009604684908,0.6723675025016497,1.0224747162910903,0.21283070048882496,3,0.10991917398622202,0.3315406068435992,0.635890973093855,0.8096440158022653,0.6401228733459358,92,1.5279375376465618,0.6136363636363636,,,44
u16,0.9333333333333333,0.9074074074074074,0.009018045277003468,0.37777777777777777,0.7132352941176471,0.00505050505050505,0.9545454545454546,1.0,0.0031658409748651153,0.500108059711971,0.43820344983903886,0.21283070048882496,3,0.015239259777268754,0.1234473968023172,0.38371407001327834,0.28727735922314607,0.6251816620425419,87,1.4938614513018706,0.5555555555555556,,,45
u18,0.9333333333333333,0.9074074074074074,0.01739431688499916,0.26666666666666666,0.6212121212121212,0.2641414141414141,0.9545454545454546,1.0,0.0026169150320907108,0.500108059711971,-0.2921356332260254,0.21283070048882496,2,0.10724103870085296,0.32747677581906925,0.1402677089915902,0.7922436929379965,0.5996430696014277,82,1.4294688389720505,0.5909090909090909,,,44
u19,0.9,0.9316239316239316,0.1323499213978954,0.13333333333333333,0.6,0.04722222222222222,0.9545454545454546,1.0,0.0018946251810388903,0.3278486169222924,-1.1685425329041026,0.21283070048882496,2,0.4622897338126542,0.6799189170869231,-0.20928773849766177,1.4963911498263949,0.5504,75,1.290564432903234,0.5681818181818182,,,44
u20,0.3333333333333333,0.9333333333333333,7.937226601906722,0.4,0.46405228758169936,0.013131313131313131,0.9545454545454546,1.0,0.002103724796469868,-2.6005619105022455,0.584271266452052,0.21283070048882496,2,2.0218120491834486,1.4219043741347195,-0.6011533145204561,3.1848331769542977,0.553469387755102,70,1.347064977922921,0.23809523809523808,,,42
u22,0.8666666666666667,0.9846153846153847,0.0,0.2,0.6944444444444444,0.07727272727272727,0.9545454545454546,1.0,0.0018946251810388903,0.15558917413261378,-0.7303390830650639,0.21283070048882496,2,0.18641274553888812,0.4317554232883336,-0.12063973614787506,0.9431697835538888,0.5748018215550683,77,1.36785031418377,0.5454545454545454,,,44
u24,0.9,0.9572649572649573,0.19673527262000895,0.4444444444444445,0.45263157894736844,0.0,0.9545454545454546,1.0,0.0026740764990125124,0.3278486169222924,0.8764068996780777,0.21283070048882496,3,0.0838309647567919,0.2895357745716268,0.47236207236306504,0.6635761991892528,0.634768337331145,89,1.5173305521701188,0.5681818181818182,,,47
u25,0.9666666666666667,0.8669950738916257,0.247018278110585,0.26666666666666666,0.8484848484848485,0.00101010101010101,0.9545454545454546,1.0,0.003191009604684908,0.6723675025016497,-0.2921356332260254,0.21283070048882496,2,0.15515904104645664,0.39390232424607075,0.1976875232548164,0.9645031357276751,0.6009580490637247,83,1.4307221949124502,0.5777777777777777,,,46
u27,0.8666666666666667,0.9692307692307692,0.0,0.24444444444444446,0.8,0.0,0.9545454545454546,1.0,0.003191009604684908,0.15558917413261378,-0.43820344983903814,0.21283070048882496,2,0.08663463750176122,0.2943376250188909,-0.02326119173919981,0.6510341503278632,0.5896490946963628,79,1.4083059097798043,0.5454545454545454,,,44
u30,0.9333333333333333,0.9126984126984127,0.0,0.5555555555555556,0.4066666666666667,0.09267676767676768,0.9545454545454546,1.0,0.00183731814698767,0.500108059711971,1.6067459827431418,0.21283070048882496,3,0.3611306208794556,0.6009414454665742,0.7732282476479794,1.3939152822543168,0.648421052631579,95,1.5469116681342219,0.5909090909090909,,,47
u32,0.8333333333333334,0.9966666666666667,0.00617475908089377,0.5777777777777778,0.4707692307692308,0.09015151515151515,0.9545454545454546,1.0,0.00311550371522553,-0.01667026865706486,1.752813799356155,0.21283070048882496,2,0.6172547229542824,0.7856556007273686,0.6496580770626385,1.7694840680132198,0.6456237715342814,93,1.5414688200032525,0.5227272727272727,,,45
u42,0.26666666666666666,1.0,8.614593111537895,0.4666666666666667,0.5952380952380952,0.023989898989898988,0.9545454545454546,1.0,0.002103724796469868,-2.945080796081603,1.0224747162910903,0.21283070048882496,2,2.9299361329172267,1.7117056209866306,-0.5699251264338958,3.967555512372693,0.5498908946637573,71,1.3227612373207116,0.16279069767441862,,,45
u43,0.9,0.9116809116809117,0.14142555534652115,0.24444444444444446,0.43636363636363634,0.33484848484848484,0.9545454545454546,1.0,0.003191009604684908,0.3278486169222924,-0.43820344983903814,0.21283070048882496,2,0.11376781722034719,0.33729485205135756,0.034158622524026405,0.7660520667613305,0.5915625,80,1.4105150683857142,0.6046511627906976,,,44
u46,0.9333333333333333,0.9074074074074074,0.007537875272716128,0.13333333333333333,0.8,0.0030303030303030303,0.9545454545454546,1.0,0.0018946251810388903,0.500108059711971,-1.1685425329041026,0.21283070048882496,2,0.5305683434771811,0.7284012242419565,-0.15186792423443554,1.6686505926160735,0.5526315789473684,76,1.2927558742508514,0.5555555555555556,,,45
u47,0.6,0.9215686274509803,7.437530990632424,0.33333333333333337,0.6666666666666666,0.06111111111111111,0.9545454545454546,1.0,0.0026740764990125124,-1.222486368184816,0.14606781661301343,0.21283070048882496,2,0.43750365855743995,0.6614405933698354,-0.2878626170276592,1.435317068673641,0.5888,75,1.4269608142719163,0.36363636363636365,,,45
u49,0.8666666666666667,0.9846153846153847,0.0,0.11111111111111112,0.9,0.0030303030303030303,0.9545454545454546,1.0,0.003191009604684908,0.15558917413261378,-1.3146103495171155,0.21283070048882496,2,0.49975993254697,0.7069370074815506,-0.31539682496522553,1.5274410500059405,0.5374366672921749,73,1.2542299711702483,0.5454545454545454,,,45
u54,0.9333333333333333,0.8862433862433863,0.08502946324820515,0.022222222222222223,0.0,0.0,0.9772727272727273,0.9534883720930233,0.09191042971945391,0.500108059711971,-1.898881615969167,0.3325479695137891,2,1.195833982535617,1.0935419436563085,-0.355408528914469,2.398989675681138,0.49189814814814814,72,1.0597121921394912,0.6136363636363636,,,44
u59,0.9666666666666667,0.8669950738916257,0.0,0.4,0.43137254901960786,0.30757575757575756,0.9545454545454546,1.0,0.003191009604684908,0.6723675025016497,0.584271266452052,0.21283070048882496,3,0.03965590147259588,0.1991378956215915,0.48982315648084224,0.4595368020128247,0.6302234566342634,89,1.504751064209441,0.5777777777777777,,,47
